_r,_RAJ2000,_DEJ2000,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP
0.2998,132.8299225353081,11.798525461247,1.1693,-10.99,-3.16,13.535529,13.835016,13.071354,0.763662,0.299487,0.464175
0.3494,132.8212492449926,11.8044927313634,1.1621,-11.379,-3.062,9.921911,10.559404,9.158524,1.400881,0.637493,0.763388
0.3648,132.8306575238672,11.8025077894719,,,,21.429516,21.165663,19.526007,1.639656,-0.263853,1.903509
0.4322,132.8290703322868,11.8060444785907,1.538,-11.109,-2.589,18.9351,20.286268,17.882305,2.403963,1.351168,1.052795
0.504,132.8210539079944,11.8074465178999,1.2306,-10.817,-2.937,17.062658,17.782806,16.05379,1.729017,0.720148,1.008869
0.5373,132.8300638365746,11.8075030349414,1.3514,-10.999,-2.986,17.290668,18.223747,16.361435,1.862312,0.933079,0.929234
0.5644,132.8211232526493,11.8085978456259,1.5233,-10.509,-2.598,18.590473,19.5997,17.438232,2.161468,1.009228,1.152241
0.5821,132.8287295022393,11.8090007991856,0.1747,0.246,-2.777,20.121014,20.329203,19.789494,0.539709,0.208189,0.33152
0.6196,132.8154085352054,11.8043644289661,0.9079,7.093,0.945,14.208541,14.484172,13.769138,0.715034,0.275631,0.439403
0.6902,132.8291756721788,11.7892401687506,0.9837,-11.221,-2.67,17.997208,19.014456,17.02812,1.986336,1.017248,0.969088
0.7236,132.8373205247831,11.7997538658278,-0.369,-0.795,-2.695,20.22416,20.602497,19.853416,0.749081,0.378338,0.370743
0.7778,132.8328702002569,11.8104606463132,0.8632,-3.753,-4.865,16.580038,17.12048,15.891482,1.228997,0.540442,0.688556
0.788,132.8143601702176,11.7920764424354,1.0662,-11.499,-2.402,12.545177,12.800984,12.138132,0.662852,0.255808,0.407044
0.7991,132.8357341854753,11.7918151549142,,,,21.161734,,20.517187,,,0.644547
0.823,132.832953534264,11.811337799092,1.2014,-10.795,-2.701,18.737257,18.34954,18.873735,-0.524195,-0.387716,-0.136478
